BAIRRO,TIPO_ESTACIONAMENTO,TOTAL_VAGAS_FISICAS,TOTAL_VAGAS_ROTATIVAS,TOTAL_REGISTROS
CENTRO,ROTATIVO,14846,111345,1064
SERRA VERDE,ROTATIVO,3696,27720,56
SANTA EFIGÊNIA,ROTATIVO,3216,24120,362
BARRO PRETO,ROTATIVO,3112,23340,256
SAVASSI,ROTATIVO,2892,21690,348
SANTO AGOSTINHO,ROTATIVO,2660,19950,248
BOA VIAGEM,ROTATIVO,2592,19440,128
FUNCIONÁRIOS,ROTATIVO,2552,19140,244
BARREIRO,ROTATIVO,1926,14445,182
SERRA,ROTATIVO,1466,10995,182
LOURDES,ROTATIVO,966,7275,120
BURITIS,ROTATIVO,904,6780,128
CAIÇARAS,ROTATIVO,672,5040,56
SANTA LÚCIA,ROTATIVO,672,5040,56
GUTIERREZ,ROTATIVO,540,4050,64
BELVEDERE,ROTATIVO,540,4050,64
FLORESTA,ROTATIVO,540,4050,54
SÃO PEDRO,ROTATIVO,476,3570,64
ALPES,ROTATIVO,436,3270,64
VENDA NOVA,ROTATIVO,432,3240,54
